variant,theme,task_1,task_2,task_3
14,Интеграционные токены,Рассмотрите токен интеграции БД и электронного журнала как отдельный актив и сформулируйте три сценария его компрометации или неправильного использования.,Добавьте на DFD хранилище секретов или иной контролируемый механизм и покажите изменение потока.,"Сформулируйте пять требований к учёту, выдаче, замене и отзыву интеграционных секретов."
15,Личные мобильные устройства педагогов,"Сформулируйте три сценария: потеря устройства, сохранённая сессия и отображение служебного уведомления третьему лицу.",Добавьте поток доступа педагога к почте/LMS с личного мобильного устройства и отдельную доверительную границу BYOD.,Сформулируйте педагогически понятные правила безопасного использования личного устройства для рабочих сервисов.
16,Родительский доступ,"Сформулируйте три риска: ошибочная привязка учётной записи, компрометация и доступ после изменения семейного/правового контекста.","Добавьте поток восстановления родительского доступа и покажите, какие данные используются для подтверждения.","Предложите правило поддержки пользователей, исключающее передачу пароля сотруднику школы."
17,Архивные выгрузки,Рассмотрите архивные XLSX/PDF-выгрузки как отдельный класс активов и сформулируйте три риска их жизненного цикла.,Постройте Mermaid-схему «создание → использование → архивирование → удаление».,"Определите признаки, по которым файл должен быть удалён или перенесён в контролируемое хранилище."
18,Фотографии и публикации,"Сформулируйте три сценария ошибочной публикации фотографий, подписей или метаданных на публичном сайте.",Добавьте поток подготовки фотографии от мероприятия до сайта и контроль согласования публикации.,"Сформулируйте пять вопросов, которые редактор должен проверить перед публикацией материала."
19,Подрядчик технической поддержки,Сформулируйте три сценария риска при удалённой поддержке внешним подрядчиком.,Добавьте поток временного удалённого доступа подрядчика во внутренний контур и укажите условия его открытия и закрытия.,Предложите пять требований к процедуре предоставления временного доступа подрядчику.
20,Недоступность LMS,Сформулируйте три причины недоступности LMS и отдельно оцените влияние в обычную неделю и во время аттестации.,Постройте Mermaid-схему резервного образовательного процесса при отказе LMS.,Разработайте короткий план коммуникации педагога с обучающимися при недоступности LMS.
21,Ошибки прав доступа в облаке,"Сформулируйте три сценария ошибочной настройки доступа к папкам администрации, методического объединения и отдельного педагога.",Добавьте поток периодической ревизии прав и назначьте владельца.,"Сформулируйте критерии, по которым ссылка или право доступа считается избыточным."
22,Журналы событий,"Рассмотрите журналы LMS и административных действий как отдельный актив и сформулируйте три риска: отсутствие события, изменение/удаление журнала и чрезмерный объём чувствительных данных в журнале.",Постройте поток «сервис → журнал → администратор → карточка инцидента».,"Определите пять типов событий, полезных для расследования образовательного инцидента."
23,Роль классного руководителя,"Сформулируйте три сценария, в которых классный руководитель получает или передаёт избыточный объём информации.",Добавьте поток рассылки информации родителям и укажите риск ошибочного выбора адресатов или канала.,Разработайте памятку из пяти правил безопасной групповой коммуникации с родителями.
24,Смена класса или перевод обучающегося,Сформулируйте три сценария несвоевременного изменения прав обучающегося при переводе между классами или группами.,"Постройте Mermaid-процесс изменения членства в группах LMS, журнала и файлового облака.","Определите, кто инициирует, кто выполняет и кто проверяет изменение доступа."
25,Комплексный риск внешних сервисов,"Выберите два внешних сервиса из кейса и сравните по трём критериям: объём данных, критичность процесса и возможность отзыва доступа.",Постройте единую Mermaid-схему передачи данных двум поставщикам и выделите две доверительные границы.,Разработайте мини-форму оценки внешнего сервиса перед использованием педагогом: минимум шесть полей.
